SPEC CPU 2006,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
400.perlbench,,,,
401.bzip2,,,,
403.gcc,,,,
429.mcf,,,,
445.gobmk,,,,
456.hmmer,,,,
458.sjeng,,,,
462.libquantum,,,,
464.h264ref,,,,
471.omnetpp,,,,
473.astar,,,,
483.xalancbmk,,,,
433.milc,,,,
444.namd,,,,
447.dealII,,,,
450.soplex,,,,
453.povray,,,,
470.lbm,,,,
482.sphinx3,,,,
SPECspeed 2017,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
600.perlbench_s,"90,15234375","114,5273438","2407,61","5516,4"
602.gcc_s,"3101,289063","3593,339844","9933,81","24533,52"
605.mcf_s,"3961,460938","12587,58984","19,44","45,61"
620.omnetpp_s,"242,0234375","279,2460938","1898,04","3805,74"
623.xalancbmk_s,"479,3085938","695,7148438","4065,33","11830,33"
625.x264_s,"156,3828125","161,0664063","634,05","1480,24"
631.deepsjeng_s,"6881,808594","6882,011719","77,07","127,58"
641.leela_s,"25,55078125","31,68359375","90,9","179,38"
657.xz_s,"4201,660156","4837,050781","135,32","264,52"
619.lbm_s,"3224,476563","3226,671875","14,5","33,85"
638.imagick_s,"7007,535156","8377,472656","1510,52","2857,84"
644.nab_s,"558,4570313","731,8320313","93,74","183,88"
