SPEC CPU 2006,baseline,N00B,N00Balloc,LowFat
400.perlbench,139,284,140,
401.bzip2,283,435,283,
403.gcc,115,168,120,
429.mcf,137,203,137,
445.gobmk,232,348,232,
456.hmmer,195,240,217,
458.sjeng,268,413,269,
462.libquantum,123,129,124,
464.h264ref,225,432,229,
471.omnetpp,144,189,129,
473.astar,228,305,218,
483.xalancbmk,"79,9",143,"66,2",
433.milc,141,140,130,
444.namd,143,221,143,
447.dealII,127,168,133,
450.soplex,112,169*,114,
453.povray,"49,9",105,"50,6",
470.lbm,121,125,127,
482.sphinx3,227,290,229,
SPECspeed 2017,baseline,N00B,N00Balloc,LowFat
600.perlbench_s,192,517,199,
602.gcc_s,327,496,392,
605.mcf_s,522,703,510,
620.omnetpp_s,222,390,265,
623.xalancbmk_s,176,208,121,
625.x264_s,133,214,133,
631.deepsjeng_s,250,329,250,
641.leela_s,320,454,319,
657.xz_s,2085,2424,2072,
619.lbm_s,749,1006,1108,
638.imagick_s,3098,3286,3094,
644.nab_s,862,1338,865,
