SPEC CPU 2006,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
400.perlbench,"663,8","789,2","1223,23","2353,84"
401.bzip2,611,"614,8","63,26","127,14"
403.gcc,"95,7",205,"3409,11","6210,34"
429.mcf,"1677,4","1679,5","10,17","20,22"
445.gobmk,"29,8","32,9","2076,16","3446,46"
456.hmmer,"4,8","8,6","155,83","277,72"
458.sjeng,"176,1","178,2","127,96","209,38"
462.libquantum,"97,5","912,3","20,45","35,2"
464.h264ref,"64,6","558,9","555,52","1256,05"
471.omnetpp,"171,3","205,9","720,57","1070,76"
473.astar,"134,7","144,7","32,37","48,67"
483.xalancbmk,"420,2",637,"3479,56","6319,75"
433.milc,"680,5","7827,8","98,18","186,37"
444.namd,"48,4","49,9","175,31","344,73"
447.dealII,"794,6","1219,3","469,24","879,58"
450.soplex,"423,6","693,2460938","309,29","630,31"
453.povray,"7,3",11,"1064,83","1778,89"
470.lbm,"410,2","412,4","10,2","22,12"
482.sphinx3,"43,8","88,7","155,29","266,4"
SPECspeed 2017,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
600.perlbench_s,"89,8","112,953125","2297,45","4122,6"
602.gcc_s,"3100,7","3588,242188","9575,29","17622,32"
605.mcf_s,"3960,9","12587,04688","18,47","34,75"
620.omnetpp_s,"241,4","277,8515625","1915,46","2778,12"
623.xalancbmk_s,"478,9","692,6445313","4010,11","8106,65"
625.x264_s,"155,7","160,1640625","550,46","1045,88"
631.deepsjeng_s,"6881,3","6881,429688","71,34","110,94"
641.leela_s,"25,1","30,96484375","84,08","133,25"
657.xz_s,"4201,5","4836,511719","125,29","221,92"
619.lbm_s,3224,"3226,074219","10,3","21,77"
638.imagick_s,"7006,7","8376,21875","1203,27","1946,84"
644.nab_s,"557,2","730,6679688","86,22","138,51"
