SPEC CPU 2006,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
400.perlbench,"664,4","794,8","1212,62","2998,8"
401.bzip2,"611,1","615,1","67,4","157,34"
403.gcc,"96,3","195,4","3619,68","8271,3"
429.mcf,"1677,7","1679,9","10,63","24,76"
445.gobmk,"30,3","34,1","2044,42","3769,3"
456.hmmer,"5,2","9,1","166,32","350,18"
458.sjeng,"176,4","178,6","120,02","225,24"
462.libquantum,"97,8","912,8","22,62","43,03"
464.h264ref,65,"539,7","588,38","1555,31"
471.omnetpp,"171,7","209,3","738,21","1492,6"
473.astar,"134,5","146,1","33,88","60,28"
483.xalancbmk,"419,8","642,1","3473,33","8255,76"
433.milc,"680,9","4078,4","102,48","213,14"
444.namd,"48,1","50,5","221,06","445,3"
447.dealII,"794,9","1231,3","511,93","1136,37"
450.soplex,"423,9","693,8","319,74","847,01"
453.povray,"7,3","12,1","1218,13","2278,38"
470.lbm,"410,6","412,6","16,35","41,46"
482.sphinx3,"44,4",71,"162,97","344,75"
SPECspeed 2017,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
600.perlbench_s,90,"114,5","2398,35","5205,17"
602.gcc_s,"3101,5","3565,5","9880,8","22223,44"
605.mcf_s,"3961,3","12587,4","19,42","39,17"
620.omnetpp_s,"241,5","282,4","1886,27","3577,79"
623.xalancbmk_s,"479,2","697,9","3970,94","10168,17"
625.x264_s,"156,2","160,9","629,38","1290,09"
631.deepsjeng_s,"6880,9","6881,9","75,87","124,54"
641.leela_s,"25,3","31,2","93,26","169,57"
657.xz_s,"4201,6","4836,8","133,63","250,67"
619.lbm_s,"3224,3","3226,4","14,43","30,53"
638.imagick_s,"7007,5","8377,2","1497,34","2727,86"
644.nab_s,"558,3","731,7","93,08",167
