SPEC CPU 2006,baseline,N00B,N00Balloc,LowFat
400.perlbench,243,465,259,392
401.bzip2,345,516,349,520
403.gcc,194,279,196,254
429.mcf,314,475,311,390
445.gobmk,295,422,290,407
456.hmmer,285,356,285,340
458.sjeng,384,634,371,608
462.libquantum,280,331,"278,00",304
464.h264ref,330,540,"336,00",510
471.omnetpp,282,356,"260,00",332
473.astar,299,384,"280,00",368
483.xalancbmk,184,234,"148,00",215
433.milc,196,216,203,217
444.namd,247,296,250,298
447.dealII,175,348,290,340
450.soplex,193,259,194,246
453.povray,"86,9",167,"86,7",157
470.lbm,202,229,201,210
482.sphinx3,395,492,393,455
SPECspeed 2017,baseline,N00B,N00Balloc,LowFat
600.perlbench_s,407,1003,409,855
602.gcc_s,456,710,474,626
605.mcf_s,659,1004,662,838
620.omnetpp_s,506,780,603,741
623.xalancbmk_s,281,301,196,274
625.x264_s,186,271,186,258
631.deepsjeng_s,326,451,321,438
641.leela_s,379,565,379,508
657.xz_s ,2748,3068,2703,3074
619.lbm_s,1231,1164,1245,1150
638.imagick_s,4022,4274,3953,4335
644.nab_s,1463,1943,1466,1737
