SPEC CPU2006 benchmark,baseline,N00B,N00Balloc
400.perlbench,243,465,259
401.bzip2,345,516,349
403.gcc,194,279,196
429.mcf,314,475,311
445.gobmk,295,422,290
456.hmmer,285,356,285
458.sjeng,384,634,371
462.libquantum,280,331,"278,00"
464.h264ref,330,540,"336,00"
471.omnetpp,282,356,"260,00"
473.astar,299,384,"280,00"
483.xalancbmk,184,234,"148,00"
433.milc,196,216,203
444.namd,247,296,250
447.dealII,175,348,290
450.soplex,193,259,194
453.povray,"86,9",167,"86,7"
470.lbm,202,229,201
482.sphinx3,395,492,393
