SPEC CPU 2006,baseline,N00B,N00Balloc,LowFat
400.perlbench,152,281,157,244
401.bzip2,256,369,257,353
403.gcc,"98,5",147,101,133
429.mcf,149,210,148,183
445.gobmk,187,281,183,271
456.hmmer,148,222,159,219
458.sjeng,242,377,231,368
462.libquantum,"97,1",189,"91,60",148
464.h264ref,253,350,"255,00",328
471.omnetpp,"89,7",122,"88,40",115
473.astar,182,243,"177,00",233
483.xalancbmk,"75,2",136,"72,70",121
433.milc,114,118,103,115
444.namd,158,207,158,202
447.dealII,127,209,159,197
450.soplex,102,149,104,140
453.povray,"58,5",107,"56,2","94,8"
470.lbm,142,169,142,170
482.sphinx3,213,442,213,395
SPECspeed 2017,baseline,N00B,N00Balloc,LowFat
600.perlbench_s,210,567,211,485
602.gcc_s,274,450,295,395
605.mcf_s,405,561,404,466
620.omnetpp_s,168,314,214,268
623.xalancbmk_s,145,185,105,165
625.x264_s,111,222,111,201
631.deepsjeng_s,223,313,217,306
641.leela_s,263,339,263,331
657.xz_s,1481,1706,1483,1695
619.lbm_s,710,780,834,772
638.imagick_s,10171,15108,12113,15161
644.nab_s,980,1240,981,1195
