SPEC CPU 2006,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
400.perlbench,"663,8","795,2","1258,11","3191,98"
401.bzip2,"611,3","615,2","91,48","206,89"
403.gcc,"96,3","195,8","3692,95","8581,83"
429.mcf,"1677,7",1680,"14,59","29,51"
445.gobmk,"30,3","34,2","2079,65","3863,62"
456.hmmer,"5,1","9,3","178,58","403,38"
458.sjeng,"176,4","178,8","123,16","231,34"
462.libquantum,"97,7","912,9","25,18","47,5"
464.h264ref,"65,2","540,2","669,65","1985,32"
471.omnetpp,172,"209,4","740,06","1511,6"
473.astar,135,"146,1","34,7","63,05"
483.xalancbmk,420,"642,5","3525,65","8526,7"
433.milc,681,"4078,5","128,6","312,19"
444.namd,"48,9","50,6","274,37","595,84"
447.dealII,"795,2","1231,6","580,32","1363,27"
450.soplex,"424,2","693,9","361,85","1001,77"
453.povray,"8,1","12,3","1247,45","2401,6"
470.lbm,"410,6","412,8","17,22","30,52"
482.sphinx3,"44,4","71,2","178,53","397,33"
SPECspeed 2017,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
600.perlbench_s,"90,1","114,8","2440,74","5365,3"
602.gcc_s,"3101,7","3566,2","10029,29","22856,08"
605.mcf_s,"3961,2","12587,5","22,86","49,6"
620.omnetpp_s,242,"282,8","1899,63","3649,62"
623.xalancbmk_s,"479,5","699,1","4154,21","11287,13"
625.x264_s,"156,3","160,9","683,88","1445,35"
631.deepsjeng_s,"6881,7",6882,"93,04","141,67"
641.leela_s,"25,5","31,4","97,11","178,89"
657.xz_s,"4201,6","4836,9","145,48","276,95"
619.lbm_s,"3224,3","3226,6","18,24","30,03"
638.imagick_s,"7007,4","8377,4","1622,85","3035,35"
644.nab_s,"557,7","731,9","104,98","211,76"
