SPEC CPU 2006,baseline,N00B,N00Balloc,LowFat
400.perlbench,286,555,298,481
401.bzip2,543,800,539,774
403.gcc,212,326,227,297
429.mcf,241,328,240,290
445.gobmk,465,674,455,640
456.hmmer,320,393,319,430
458.sjeng,498,793,477,756
462.libquantum,277,426,272,378
464.h264ref,414,601,402,556
471.omnetpp,242,323,232,303
473.astar,414,535,396,518
483.xalancbmk,152,288,129,261
433.milc,206,208,195,206
444.namd,296,430,296,431
447.dealII,243,408,297,386
450.soplex,201,291,202,278
453.povray,100,218,"97,5",187
470.lbm,162,179,162,179
482.sphinx3,439,603,436,533
SPECspeed 2017,baseline,N00B,N00Balloc,LowFat
600.perlbench_s,390,1086,404,932
602.gcc_s,568,976,608,841
605.mcf_s,868,1183,865,1023
620.omnetpp_s,437,728,482,671
623.xalancbmk_s,304,418,254,389
625.x264_s,265,418,268,389
631.deepsjeng_s,440,610,431,586
641.leela_s,574,837,572,810
657.xz_s,3385,3978,3387,3943
619.lbm_s,1138,1059,1140,1059
638.imagick_s,5608,5899,5594,5974
644.nab_s,1692,2424,1694,2256
