SPEC CPU2006 benchmark,baseline,N00B,N00Balloc
400.perlbench,286,555,298
401.bzip2,543,800,539
403.gcc,212,326,227
429.mcf,241,328,240
445.gobmk,465,674,455
456.hmmer,320,393,319
458.sjeng,498,793,477
462.libquantum,277,426,272
464.h264ref,414,601,402
471.omnetpp,242,323,232
473.astar,414,535,396
483.xalancbmk,152,288,129
433.milc,206,208,195
444.namd,296,430,296
447.dealII,243,408,297
450.soplex,201,291,202
453.povray,100,218,"97,5"
470.lbm,162,179,162
482.sphinx3,439,603,436
